economy,Country,SP.POP.TOTL,NY.GDP.MKTP.PP.KD,Total Population (millions),GDP (billions $),Gold,Silver,Bronze,Total,GDP (bn) / Total_Medals,Year,Continent
URY,Uruguay,3378975,70570248494,3.38,70.57,0,0,0,0,,2012,South America
UKR,Ukraine,45593342,5.92E+11,45.59,592.03,5,4,10,19,31.16,2012,Europe
UGA,Uganda,34558700,69010867755,34.56,69.01,1,0,0,1,69.01,2012,Africa
TZA,Tanzania,47053033,97247878561,47.05,97.25,0,0,0,0,,2012,Africa
TUV,Tuvalu,10744,35695731.41,0.01,0.04,0,0,0,0,,2012,Oceania
TUR,Turkey,74651046,1.69E+12,74.65,1687.91,1,1,1,3,562.64,2012,Europe
TUN,Tunisia,10846993,1.17E+11,10.85,117.26,2,0,1,3,39.09,2012,Africa
TTO,Trinidad and Tobago,1344814,38728621938,1.34,38.73,1,1,2,4,9.68,2012,North America
TON,Tonga,102736,578618564.5,0.1,0.58,0,0,0,0,,2012,Oceania
TLS,Timor-Leste,1133002,3561340025,1.13,3.56,0,0,0,0,,2012,Asia
TKM,Turkmenistan,5267906,55860877402,5.27,55.86,0,0,0,0,,2012,Asia
TJK,Tajikistan,7874838,20771100055,7.87,20.77,0,0,1,1,20.77,2012,Asia
THA,Thailand,67835969,1.05E+12,67.84,1046.34,0,2,2,4,261.59,2012,Asia
TGO,Togo,6773807,11833375211,6.77,11.83,0,0,0,0,,2012,Africa
TCD,Chad,12784748,22567573044,12.78,22.57,0,0,0,0,,2012,Africa
SYC,Seychelles,88303,2055652657,0.09,2.06,0,0,0,0,,2012,Africa
SWZ,Eswatini,1079285,8559668135,1.08,8.56,0,0,0,0,,2012,Africa
SWE,Sweden,9519374,4.60E+11,9.52,459.79,1,4,3,8,57.47,2012,Europe
SVN,Slovenia,2057159,67091135564,2.06,67.09,1,1,2,4,16.77,2012,Europe
SVK,Slovak Republic,5407579,1.43E+11,5.41,143.19,0,1,3,4,35.80,2012,Europe
SUR,Suriname,541247,10835935420,0.54,10.84,0,0,0,0,,2012,South America
STP,Sao Tome and Principe,188394,652093325.6,0.19,0.65,0,0,0,0,,2012,Africa
SRB,Serbia,7199077,1.07E+11,7.2,107.22,1,1,2,4,26.81,2012,Europe
SMR,San Marino,32103,1916829275,0.03,1.92,0,0,0,0,,2012,Europe
SLV,El Salvador,6237922,48374994140,6.24,48.37,0,0,0,0,,2012,North America
SLE,Sierra Leone,6712586,11047338886,6.71,11.05,0,0,0,0,,2012,Africa
SLB,Solomon Islands,556066,1407268996,0.56,1.41,0,0,0,0,,2012,Oceania
SGP,Singapore,5312437,4.42E+11,5.31,441.53,0,0,2,2,220.77,2012,Asia
SEN,Senegal,13401990,37373747012,13.4,37.37,0,0,0,0,,2012,Africa
SDN,Sudan,36193781,1.66E+11,36.19,165.64,0,0,0,0,,2012,Africa
SAU,Saudi Arabia,29154906,1.40E+12,29.15,1400.15,0,0,1,1,1400.15,2012,Asia
RWA,Rwanda,10549668,17746719989,10.55,17.75,0,0,0,0,,2012,Africa
RUS,Russian Federation,143201721,3.71E+12,143.2,3713.69,20,21,27,68,54.61,2012,Europe
ROU,Romania,20058035,4.27E+11,20.06,427.46,2,4,1,7,61.07,2012,Europe
QAT,Qatar,2196078,2.11E+11,2.2,211.4,0,1,1,2,105.70,2012,Asia
PSE,West Bank and Gaza,3979998,23823007353,3.98,23.82,0,0,0,0,,2012,Asia
PRY,Paraguay,6421510,67386123645,6.42,67.39,0,0,0,0,,2012,South America
PRT,Portugal,10514844,3.17E+11,10.51,317.09,0,1,0,1,317.09,2012,Europe
