areaCode,areaName,areaType,date,newCasesBySpecimenDate
W06000015,Cardiff,ltla,15/04/2020,45
W06000015,Cardiff,ltla,14/04/2020,60
W06000015,Cardiff,ltla,13/04/2020,46
W06000015,Cardiff,ltla,12/04/2020,40
W06000015,Cardiff,ltla,11/04/2020,44
W06000015,Cardiff,ltla,10/04/2020,47
W06000015,Cardiff,ltla,09/04/2020,79
W06000015,Cardiff,ltla,08/04/2020,64
W06000015,Cardiff,ltla,07/04/2020,75
W06000015,Cardiff,ltla,06/04/2020,77
W06000015,Cardiff,ltla,05/04/2020,29
W06000015,Cardiff,ltla,04/04/2020,46
W06000015,Cardiff,ltla,03/04/2020,63
W06000015,Cardiff,ltla,02/04/2020,85
W06000015,Cardiff,ltla,01/04/2020,72
W06000015,Cardiff,ltla,31/03/2020,59
W06000015,Cardiff,ltla,30/03/2020,55
W06000015,Cardiff,ltla,29/03/2020,29
W06000015,Cardiff,ltla,28/03/2020,39
W06000015,Cardiff,ltla,27/03/2020,33
W06000015,Cardiff,ltla,26/03/2020,34
W06000015,Cardiff,ltla,25/03/2020,29
W06000015,Cardiff,ltla,24/03/2020,19
W06000015,Cardiff,ltla,23/03/2020,25
W06000015,Cardiff,ltla,22/03/2020,11
W06000015,Cardiff,ltla,21/03/2020,13
W06000015,Cardiff,ltla,20/03/2020,11
W06000015,Cardiff,ltla,19/03/2020,13
W06000015,Cardiff,ltla,18/03/2020,6
W06000015,Cardiff,ltla,17/03/2020,9
W06000015,Cardiff,ltla,16/03/2020,6
W06000015,Cardiff,ltla,15/03/2020,6
W06000015,Cardiff,ltla,14/03/2020,4
W06000015,Cardiff,ltla,13/03/2020,0
W06000015,Cardiff,ltla,12/03/2020,1
W06000015,Cardiff,ltla,11/03/2020,1
W06000015,Cardiff,ltla,10/03/2020,1
W06000015,Cardiff,ltla,09/03/2020,1
W06000015,Cardiff,ltla,08/03/2020,0
W06000015,Cardiff,ltla,07/03/2020,0
W06000015,Cardiff,ltla,06/03/2020,0
W06000015,Cardiff,ltla,05/03/2020,0
W06000015,Cardiff,ltla,04/03/2020,1
